ticker,status,error,forecast_completed,evaluation_completed,forecast_revenue,forecast_cogs,forecast_sga,forecast_net_income,forecast_ebit,forecast_cash,forecast_equity,forecast_total_assets,avg_smape,median_smape,is_avg_smape,is_median_smape,bs_avg_smape,bs_median_smape,actual_revenue,actual_net_income,actual_equity
CVS,evaluated,,True,True,396951211057.25543,336560208393.417,44193463616.43207,5504643139.089153,11875561164.823837,9093433114.08609,75903613911.53174,280589342673.0637,11.393482919237766,6.167121861677543,16.608941865191447,6.167121861677543,7.742661657070185,7.382048762154055,372809000000.0,4614000000.0,75560000000.0
FCX,evaluated,,True,True,22930246927.129063,15746673617.208078,938078358.2089554,1775741988.750924,4008388873.9236937,4773665057.067603,18008873476.640198,57029004424.39549,27.494298708180864,11.965567875249647,16.5291937024944,12.213620621131184,35.16987221216139,11.631845202282033,25455000000.0,1889000000.0,17581000000.0
BLK,evaluated,,True,True,17845010966.26196,9269733284.843058,308757958.93246794,,7841866797.476618,,,,12.76093001007522,9.518574390862407,11.923688298494522,12.063801177882523,13.430723379339781,6.69766584257558,20407000000.0,6369000000.0,47495000000.0
ECL,evaluated,,True,True,16542982565.302584,9885598822.932379,4385776816.7016735,532640738.65768516,1277285469.6069536,992889940.6532372,7801375922.316199,22042760743.949257,17.546358796174342,6.779493227121219,21.909200870200834,6.106731712651665,14.492369344355799,9.078916186086815,15741400000.0,2112400000.0,8757300000.0
DE,evaluated,,True,True,70781590109.59012,44575672087.6721,5062373386.373387,12585881860.438631,18969854172.07972,8761935649.935652,32336541375.233192,122008673042.8202,23.86701515964167,17.87817235165185,28.205317876142317,33.41081382267268,20.830203258091213,14.755060522875102,50518000000.0,7100000000.0,22836000000.0
CZR,evaluated,,True,True,12281192496.072453,5747487293.226135,2143455872.8398485,849735431.0423365,3115601022.0190735,1433966420.8521137,5165935431.042336,33675825690.414024,46.512167866353394,8.808841432760003,62.03945506638394,8.808841432760003,35.64306682633201,15.082951317263214,11245000000.0,-278000000.0,4157000000.0
LULU,evaluated,,True,True,10513749239.936535,4690281952.08433,3585852671.0332437,1444223258.8803358,1860240727.443463,1497066160.691313,4336582258.880336,6676308846.869017,20.639069999986592,20.547822939185597,14.211022050151655,7.981620343544074,24.49589876988755,28.746696013716868,9619278000.0,1550190000.0,4232081000.0
C,evaluated,,True,True,79654894951.66489,47792936970.99893,1440580451.1278198,-39387016391.15665,25428183608.843357,,162826082227.907,,50.292930936239735,19.655469593479506,79.037698639493,28.888816238522352,28.73435515879979,8.225530790724983,81089000000.0,12682000000.0,208598000000.0
OKE,evaluated,,True,True,13957936704.33734,10026468307.49989,591417921.1149328,475490444.12174153,2079826287.6711938,266888194.04118466,14300490444.121742,48144437959.62367,54.02518831038992,38.87063689667574,68.18299915503255,43.41528514504642,44.114720719140095,38.27595368521072,21698000000.0,3035000000.0,17036000000.0
UDR,evaluated,,True,True,1745606922.0363176,1324598968.2111208,75003669.09210971,29782293.993626997,250694784.73308706,,3576573293.993627,,41.56690704222886,8.476316287855235,67.20023915934601,11.677118340009997,19.137741439751363,4.932240439083806,1671842000.0,89585000.0,3443205000.0
DGX,evaluated,,True,True,8661287463.320854,5803212384.903369,1676650005.0591927,334651079.6476649,729914226.9099727,642200951.1281999,6358188077.5335,14614588499.27552,23.460940779679515,14.056035722756635,25.99600186626489,13.2696247085001,21.68639801906975,14.852134442206115,9872000000.0,871000000.0,6778000000.0
NOW,evaluated,,True,True,11108190614.2167,2378646100.759144,4087408005.5210485,3946727635.061913,3970651781.7117233,,11055427635.061913,,31.82177761455779,11.805939602518206,46.594068951410335,5.878252454949499,18.896022694811812,12.709252523772193,10984000000.0,1425000000.0,9609000000.0
HLT,evaluated,,True,True,11940638892.055168,8522361221.930923,475992248.94562864,1647739699.268583,2786234465.764603,,-855908109.4963572,,34.20512869067673,13.690859604627288,20.754832214756416,7.0844435876733165,45.974138107107,14.682204278235062,11174000000.0,1535000000.0,-3727000000.0
MHK,evaluated,,True,True,10563976792.39335,7993353132.375118,2010979839.1425478,-191504723.78697467,-117183584.74214745,609640819.2824463,7431595276.213025,12545021702.171307,31.988803538708652,5.859113794337243,64.81395497375927,5.859113794337243,9.011197534173212,5.499136427213472,10836900000.0,517700000.0,7551400000.0
